Aufgenommen;Symbol;Firmenname
21.06.2010;HEI.DE;HeidelbergCement AG
24.09.2012;CON.DE;Continental Aktiengesellschaft
24.09.2012;LXS.DE;LANXESS Aktiengesellschaft
21.09.2015;VNA.DE;Vonovia SE
21.03.2016;PSM.DE;ProSiebenSat.1 Media SE
19.03.2018;1COV.DE;Covestro AG
24.09.2018;WDI.HM;Wirecard AG
23.09.2019;MTX.DE;MTU Aero Engines AG
22.06.2020;DWNI.DE;Deutsche Wohnen SE
24.08.2020;DHER.DE;Delivery Hero SE
22.03.2021;ENR.DE;Siemens Energy AG
29.10.2021;BEI.DE;Beiersdorf Aktiengesellschaft
20.09.2021;AIR.DE;Airbus SE
20.09.2021;BNR.DE;Brenntag SE
20.09.2021;HFG.DE;HelloFresh SE
20.09.2021;POAHY;Porsche
20.09.2021;PUM.DE;PUMA SE
20.09.2021;QIA.DE;Qiagen
20.09.2021;SRT3.DE;Sartorius AG
20.09.2021;SHL.DE;Siemens Healthineers AG
20.09.2021;SY1.DE;Symrise AG
20.09.2021;ZAL.DE;Zalando SE
